Round,GP Name,Position,Driver No,Driver,Points,Championship Won
20,Gran Premio de la Ciudad de México,18,43,Franco Colapinto,5,false
20,Gran Premio de la Ciudad de México,19,31,Esteban Ocon,5,false
20,Gran Premio de la Ciudad de México,20,30,Liam Lawson,2,false
20,Gran Premio de la Ciudad de México,21,24,Guanyu Zhou,0,false
20,Gran Premio de la Ciudad de México,22,2,Logan Sargeant,0,false
20,Gran Premio de la Ciudad de México,23,77,Valtteri Bottas,0,false
21,Lenovo Grande Prêmio de São Paulo,1,1,Max Verstappen,393,false
21,Lenovo Grande Prêmio de São Paulo,2,4,Lando Norris,331,false
21,Lenovo Grande Prêmio de São Paulo,3,16,Charles Leclerc,307,false
21,Lenovo Grande Prêmio de São Paulo,4,81,Oscar Piastri,262,false
21,Lenovo Grande Prêmio de São Paulo,5,55,Carlos Sainz,244,false
21,Lenovo Grande Prêmio de São Paulo,6,63,George Russell,192,false
21,Lenovo Grande Prêmio de São Paulo,7,44,Lewis Hamilton,190,false
21,Lenovo Grande Prêmio de São Paulo,8,11,Sergio Perez,151,false
21,Lenovo Grande Prêmio de São Paulo,9,14,Fernando Alonso,62,false
21,Lenovo Grande Prêmio de São Paulo,10,27,Nico Hulkenberg,31,false
21,Lenovo Grande Prêmio de São Paulo,11,22,Yuki Tsunoda,28,false
21,Lenovo Grande Prêmio de São Paulo,12,10,Pierre Gasly,26,false
21,Lenovo Grande Prêmio de São Paulo,13,18,Lance Stroll,24,false
21,Lenovo Grande Prêmio de São Paulo,14,31,Esteban Ocon,23,false
21,Lenovo Grande Prêmio de São Paulo,15,20,Kevin Magnussen,14,false
21,Lenovo Grande Prêmio de São Paulo,16,23,Alexander Albon,12,false
21,Lenovo Grande Prêmio de São Paulo,17,3,Daniel Ricciardo,12,false
21,Lenovo Grande Prêmio de São Paulo,18,50,Oliver Bearman,7,false
21,Lenovo Grande Prêmio de São Paulo,19,43,Franco Colapinto,5,false
21,Lenovo Grande Prêmio de São Paulo,20,30,Liam Lawson,4,false
21,Lenovo Grande Prêmio de São Paulo,21,24,Guanyu Zhou,0,false
21,Lenovo Grande Prêmio de São Paulo,22,2,Logan Sargeant,0,false
21,Lenovo Grande Prêmio de São Paulo,23,77,Valtteri Bottas,0,false
22,Heineken Silver Las Vegas GP,1,1,Max Verstappen,403,true
22,Heineken Silver Las Vegas GP,2,4,Lando Norris,340,false
22,Heineken Silver Las Vegas GP,3,16,Charles Leclerc,319,false
22,Heineken Silver Las Vegas GP,4,81,Oscar Piastri,268,false
22,Heineken Silver Las Vegas GP,5,55,Carlos Sainz,259,false
22,Heineken Silver Las Vegas GP,6,63,George Russell,217,false
22,Heineken Silver Las Vegas GP,7,44,Lewis Hamilton,208,false
22,Heineken Silver Las Vegas GP,8,11,Sergio Perez,152,false
22,Heineken Silver Las Vegas GP,9,14,Fernando Alonso,62,false
22,Heineken Silver Las Vegas GP,10,27,Nico Hulkenberg,35,false
22,Heineken Silver Las Vegas GP,11,22,Yuki Tsunoda,30,false
22,Heineken Silver Las Vegas GP,12,10,Pierre Gasly,26,false
22,Heineken Silver Las Vegas GP,13,18,Lance Stroll,24,false
22,Heineken Silver Las Vegas GP,14,31,Esteban Ocon,23,false
22,Heineken Silver Las Vegas GP,15,20,Kevin Magnussen,14,false
22,Heineken Silver Las Vegas GP,16,23,Alexander Albon,12,false
22,Heineken Silver Las Vegas GP,17,3,Daniel Ricciardo,12,false
22,Heineken Silver Las Vegas GP,18,50,Oliver Bearman,7,false
22,Heineken Silver Las Vegas GP,19,43,Franco Colapinto,5,false
22,Heineken Silver Las Vegas GP,20,30,Liam Lawson,4,false
22,Heineken Silver Las Vegas GP,21,24,Guanyu Zhou,0,false
22,Heineken Silver Las Vegas GP,22,2,Logan Sargeant,0,false
22,Heineken Silver Las Vegas GP,23,77,Valtteri Bottas,0,false
23,Qatar Airways Qatar GP,1,1,Max Verstappen,429,true
23,Qatar Airways Qatar GP,2,4,Lando Norris,349,false
23,Qatar Airways Qatar GP,3,16,Charles Leclerc,341,false
23,Qatar Airways Qatar GP,4,81,Oscar Piastri,291,false
23,Qatar Airways Qatar GP,5,55,Carlos Sainz,272,false
23,Qatar Airways Qatar GP,6,63,George Russell,235,false
23,Qatar Airways Qatar GP,7,44,Lewis Hamilton,211,false
23,Qatar Airways Qatar GP,8,11,Sergio Perez,152,false
23,Qatar Airways Qatar GP,9,14,Fernando Alonso,68,false
23,Qatar Airways Qatar GP,10,27,Nico Hulkenberg,37,false
23,Qatar Airways Qatar GP,11,10,Pierre Gasly,36,false
23,Qatar Airways Qatar GP,12,22,Yuki Tsunoda,30,false
23,Qatar Airways Qatar GP,13,18,Lance Stroll,24,false
23,Qatar Airways Qatar GP,14,31,Esteban Ocon,23,false
23,Qatar Airways Qatar GP,15,20,Kevin Magnussen,16,false
23,Qatar Airways Qatar GP,16,23,Alexander Albon,12,false
23,Qatar Airways Qatar GP,17,3,Daniel Ricciardo,12,false
23,Qatar Airways Qatar GP,18,50,Oliver Bearman,7,false
23,Qatar Airways Qatar GP,19,43,Franco Colapinto,5,false
23,Qatar Airways Qatar GP,20,24,Guanyu Zhou,4,false
23,Qatar Airways Qatar GP,21,30,Liam Lawson,4,false
23,Qatar Airways Qatar GP,22,77,Valtteri Bottas,0,false
23,Qatar Airways Qatar GP,23,2,Logan Sargeant,0,false
24,Etihad Airways Abu Dhabi GP,1,1,Max Verstappen,437,true
24,Etihad Airways Abu Dhabi GP,2,4,Lando Norris,374,false
24,Etihad Airways Abu Dhabi GP,3,16,Charles Leclerc,356,false
24,Etihad Airways Abu Dhabi GP,4,81,Oscar Piastri,292,false
24,Etihad Airways Abu Dhabi GP,5,55,Carlos Sainz,290,false
24,Etihad Airways Abu Dhabi GP,6,63,George Russell,245,false
24,Etihad Airways Abu Dhabi GP,7,44,Lewis Hamilton,223,false
24,Etihad Airways Abu Dhabi GP,8,11,Sergio Perez,152,false
24,Etihad Airways Abu Dhabi GP,9,14,Fernando Alonso,70,false
24,Etihad Airways Abu Dhabi GP,10,10,Pierre Gasly,42,false
24,Etihad Airways Abu Dhabi GP,11,27,Nico Hulkenberg,41,false
24,Etihad Airways Abu Dhabi GP,12,22,Yuki Tsunoda,30,false
24,Etihad Airways Abu Dhabi GP,13,18,Lance Stroll,24,false
24,Etihad Airways Abu Dhabi GP,14,31,Esteban Ocon,23,false
24,Etihad Airways Abu Dhabi GP,15,20,Kevin Magnussen,16,false
24,Etihad Airways Abu Dhabi GP,16,23,Alexander Albon,12,false
24,Etihad Airways Abu Dhabi GP,17,3,Daniel Ricciardo,12,false
24,Etihad Airways Abu Dhabi GP,18,50,Oliver Bearman,7,false
24,Etihad Airways Abu Dhabi GP,19,43,Franco Colapinto,5,false
24,Etihad Airways Abu Dhabi GP,20,24,Guanyu Zhou,4,false
24,Etihad Airways Abu Dhabi GP,21,30,Liam Lawson,4,false
24,Etihad Airways Abu Dhabi GP,22,77,Valtteri Bottas,0,false
24,Etihad Airways Abu Dhabi GP,23,2,Logan Sargeant,0,false
24,Etihad Airways Abu Dhabi GP,24,61,Jack Doohan,0,false
